loss,val_loss,learning rate
1.2291737794876099,0.5673287510871887,0.0003
0.5407275557518005,0.8542560338973999,0.0003
0.5817152261734009,0.5147947072982788,0.0003
0.48317819833755493,0.3923267126083374,0.0003
0.47145548462867737,0.6366772651672363,0.0003
0.41879919171333313,0.5781950354576111,0.0003
0.39730027318000793,0.3672162890434265,0.0003
0.4045281708240509,0.3797089755535126,0.0003
0.3682251274585724,0.5115692615509033,0.0003
0.3913687467575073,0.49162614345550537,0.0003
0.44735580682754517,0.5038004517555237,0.0003
0.3631548583507538,1.3697693347930908,0.0003
0.5207833647727966,0.42107436060905457,0.0003
0.4277294874191284,0.3257826566696167,0.0003
0.4067326486110687,0.42431640625,0.0003
0.3544398248195648,0.5308656096458435,0.0003
0.42987900972366333,0.6165875792503357,0.0003
0.41196149587631226,0.32358500361442566,0.0003
0.32081443071365356,0.35484325885772705,0.0003
0.42990341782569885,0.389434814453125,0.0003
0.36685648560523987,0.283734530210495,0.0003
0.3617329001426697,0.29245975613594055,0.0003
0.37608885765075684,0.3096899688243866,0.0003
0.3186866343021393,0.2922931909561157,0.0003
0.3447076380252838,0.4211745262145996,0.0003
0.29311302304267883,0.5385556817054749,0.0003
0.30518922209739685,0.4495657980442047,0.0003
0.3850807249546051,0.2717341482639313,0.0003
0.2935126721858978,0.29421573877334595,0.0003
0.36017733812332153,0.34821847081184387,0.0003
0.3907551169395447,0.47309330105781555,0.0003
0.3024241030216217,0.2749328315258026,0.0003
0.34081578254699707,0.2782871425151825,0.0003
0.34543874859809875,0.22359512746334076,0.0003
0.34671565890312195,0.29994985461235046,0.0003
0.3567888140678406,0.3220406472682953,0.0003
0.2817615568637848,0.2920050323009491,0.0003
0.330715537071228,0.3430076539516449,0.0003
0.279549241065979,0.25335514545440674,0.0003
0.2885567843914032,0.22455564141273499,0.0003
0.31477826833724976,0.24040302634239197,0.0003
0.25340700149536133,0.27239030599594116,0.0003
0.30787375569343567,0.23956717550754547,0.0003
0.3027682900428772,0.23728340864181519,0.0003
0.26951858401298523,0.21857976913452148,0.0003
0.2994554042816162,0.23689784109592438,0.0003
0.3324725329875946,0.2383268028497696,0.0003
0.3227919042110443,0.3008632957935333,0.0003
0.2552085816860199,0.25299131870269775,0.0003
0.30618587136268616,0.21519270539283752,0.0003
